dataset_ID,interval,spikes
7,1413,12861
7,1414,9218
7,1415,11137
7,1416,80360
7,1417,87684
7,1418,78251
7,1419,76618
7,1420,7615
7,1421,4993
7,1422,8712
7,1423,10428
7,1424,9082
7,1425,7815
7,1426,11223
7,1427,9933
7,1428,34925
7,1429,102265
7,1430,10828
7,1431,13321
7,1432,38897
7,1433,19828
7,1434,11690
7,1435,12409
7,1436,17123
7,1437,9805
7,1438,16595
7,1439,14372
7,1440,15634
3,1441,6781
3,1442,12801
3,1443,14218
3,1444,17653
3,1445,10006
3,1446,89340
3,1447,91998
3,1448,76674
3,1449,61815
3,1450,5165
3,1451,5525
3,1452,11207
3,1453,8282
3,1454,16026
3,1455,12337
3,1456,10882
3,1457,6852
3,1458,27620
3,1459,75166
3,1460,14298
3,1461,17370
3,1462,31605
3,1463,18522
3,1464,9730
3,1465,17959
3,1466,7731
3,1467,9435
3,1468,11327
3,1469,21474
3,1470,8266
7,1471,5462
7,1472,7079
7,1473,12861
7,1474,9218
7,1475,11137
7,1476,80360
7,1477,87684
7,1478,78251
7,1479,76618
7,1480,7615
7,1481,4993
7,1482,8712
7,1483,10428
7,1484,9082
7,1485,7815
7,1486,11223
7,1487,9933
7,1488,34925
7,1489,102265
7,1490,10828
7,1491,13321
7,1492,38897
7,1493,19828
7,1494,11690
7,1495,12409
7,1496,17123
7,1497,9805
7,1498,16595
7,1499,14372
7,1500,15634
0,1501,5950
0,1502,7132
0,1503,24436
0,1504,14017
0,1505,8748
0,1506,102580
0,1507,115106
0,1508,77393
0,1509,54874
0,1510,12815
0,1511,7866
0,1512,5344
0,1513,8528
0,1514,7001
0,1515,10214
0,1516,11318
0,1517,16039
0,1518,16228
0,1519,109570
0,1520,10616
0,1521,9551
0,1522,48411
0,1523,18143
0,1524,15951
0,1525,14500
0,1526,11074
0,1527,14010
0,1528,11480
0,1529,8516
0,1530,12053
5,1531,6062
5,1532,10732
5,1533,7970
5,1534,11341
5,1535,13649
5,1536,76261
5,1537,124955
5,1538,70800
5,1539,67544
5,1540,9228
5,1541,6442
5,1542,8643
5,1543,14095
5,1544,12238
5,1545,13011
5,1546,15372
5,1547,13731
5,1548,28134
5,1549,80686
5,1550,14231
5,1551,17189
