dataset_ID,interval,attack,spikes,class,differenceSpikes_1
5,4180,Spontaneous,9228,0,-58316
5,4181,Spontaneous,6442,0,-2786
5,4182,Spontaneous,8643,0,2201
5,4183,Spontaneous,14095,0,5452
5,4184,Spontaneous,12238,0,-1857
5,4185,Spontaneous,13011,0,773
5,4186,Spontaneous,15372,0,2361
5,4187,Spontaneous,13731,0,-1641
5,4188,Spontaneous,28134,0,14403
5,4189,Spontaneous,80686,0,52552
5,4190,Spontaneous,14231,0,-66455
5,4191,Spontaneous,17189,0,2958
5,4192,Spontaneous,46208,0,29019
5,4193,Spontaneous,11530,0,-34678
5,4194,Spontaneous,10312,0,-1218
5,4195,Spontaneous,9399,0,-913
5,4196,Spontaneous,9397,0,-2
5,4197,Spontaneous,17658,0,8261
5,4198,Spontaneous,9483,0,-8175
5,4199,Spontaneous,12726,0,3243
5,4200,Spontaneous,17362,0,4636
5,4201,Spontaneous,6062,0,-11300
5,4202,Spontaneous,10732,0,4670
5,4203,Spontaneous,7970,0,-2762
5,4204,Spontaneous,11341,0,3371
5,4205,Spontaneous,13649,0,2308
5,4206,Spontaneous,76261,0,62612
5,4207,Spontaneous,124955,0,48694
5,4208,Spontaneous,70800,0,-54155
5,4209,Spontaneous,67544,0,-3256
5,4210,Spontaneous,9228,0,-58316
5,4211,Spontaneous,6442,0,-2786
5,4212,Spontaneous,8643,0,2201
5,4213,Spontaneous,14095,0,5452
5,4214,Spontaneous,12238,0,-1857
5,4215,Spontaneous,13011,0,773
5,4216,Spontaneous,15372,0,2361
5,4217,Spontaneous,13731,0,-1641
5,4218,Spontaneous,28134,0,14403
5,4219,Spontaneous,80686,0,52552
5,4220,Spontaneous,14231,0,-66455
5,4221,Spontaneous,17189,0,2958
5,4222,Spontaneous,46208,0,29019
5,4223,Spontaneous,11530,0,-34678
5,4224,Spontaneous,10312,0,-1218
5,4225,Spontaneous,9399,0,-913
5,4226,Spontaneous,9397,0,-2
5,4227,Spontaneous,17658,0,8261
5,4228,Spontaneous,9483,0,-8175
5,4229,Spontaneous,12726,0,3243
5,4230,Spontaneous,17362,0,4636
0,4231,FLO,5950,0,-11412
0,4232,FLO,7132,0,1182
0,4233,FLO,24436,0,17304
0,4234,FLO,14017,0,-10419
0,4235,FLO,8748,0,-5269
0,4236,FLO,102580,0,93832
0,4237,FLO,130253,1,27673
0,4238,FLO,79058,0,-51195
0,4239,FLO,55046,0,-24012
0,4240,FLO,12614,0,-42432
0,4241,FLO,7952,0,-4662
